SALESORDERID;SALESORDERITEM;PRODUCTID;NOTEID;CURRENCY;GROSSAMOUNT;NETAMOUNT;TAXAMOUNT;ITEMATPSTATUS;OPITEMPOS;QUANTITY;QUANTITYUNIT;DELIVERYDATE
200000000;10;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;6;EA;20150226
200000001;10;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;3;EA;20150215
200000002;10;MZ-FG-E102;;USD;399;349,13;49,88;I;;7;EA;20150308
200000003;10;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;5;EA;20150210
200000003;20;MZ-FG-C990;;USD;721;630,88;90,13;I;;9;EA;20150210
200000004;10;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;4;EA;20150221
200000005;10;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;10;EA;20150310
200000005;20;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;7;EA;20150310
200000005;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;10;EA;20150310
200000005;40;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;3;EA;20150310
200000005;50;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;9;EA;20150310
200000005;60;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;4;EA;20150310
200000006;10;CM-FL-V00;;USD;799;699,13;99,88;I;;6;EA;20150221
200000007;10;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;3;EA;20150228
200000007;20;M-01;;USD;319;279,13;39,88;I;;8;EA;20150228
200000007;30;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;9;EA;20150228
200000007;40;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;7;EA;20150228
200000008;10;TG11;;USD;3000;2625;375;I;;6;EA;20150304
200000009;10;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;1;EA;20150312
200000009;20;MZ-FG-C950;;USD;689;602,88;86,13;I;;5;EA;20150312
200000009;30;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;9;EA;20150312
200000009;40;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;8;EA;20150312
200000010;10;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;6;EA;20150228
200000010;20;M1;;USD;1144;1001;143;I;;9;EA;20150228
200000010;30;MZ-FG-C10;;USD;1200;1050;150;I;;8;EA;20150228
200000010;40;MZ-FG-C900;;USD;525;459,38;65,63;I;;5;EA;20150228
200000010;50;MZ-FG-E103;;USD;449;392,88;56,13;I;;10;EA;20150228
200000011;10;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;8;EA;20150216
200000011;20;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;8;EA;20150216
200000011;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;8;EA;20150216
200000011;40;MZ-TG-SR01;;USD;4800;4200;600;I;;5;EA;20150216
200000011;50;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;9;EA;20150216
200000011;60;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;9;EA;20150216
200000012;10;FG226;;USD;299;261,63;37,38;I;;6;EA;20150310
200000012;20;MZ-TG-Y240;;USD;400;350;50;I;;8;EA;20150310
200000013;10;MZ-FG-C990;;USD;721;630,88;90,13;I;;8;EA;20150314
200000013;20;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;6;EA;20150314
200000013;30;MZ-FG-E102;;USD;399;349,13;49,88;I;;9;EA;20150314
200000014;10;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;2;EA;20150316
200000014;20;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;7;EA;20150316
200000014;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;10;EA;20150316
200000014;40;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;2;EA;20150316
200000014;50;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;7;EA;20150316
200000015;10;MZ-FG-E101;;USD;249;217,88;31,13;I;;2;EA;20150305
200000015;20;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;6;EA;20150305
200000015;30;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;10;EA;20150305
200000016;10;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;8;EA;20150311
200000016;20;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;2;EA;20150311
200000017;10;MZ-FG-C21;;USD;649;567,88;81,13;I;;5;EA;20150316
200000017;20;M1;;USD;1144;1001;143;I;;2;EA;20150316
200000017;30;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;6;EA;20150316
200000017;40;CM-FL-V00;;USD;799;699,13;99,88;I;;5;EA;20150316
200000017;50;MZ-FG-C10;;USD;1200;1050;150;I;;8;EA;20150316
200000018;10;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;2;EA;20150324
200000018;20;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;8;EA;20150324
200000018;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;7;EA;20150324
200000018;40;MZ-FG-C990;;USD;721;630,88;90,13;I;;4;EA;20150324
200000019;10;M-01;;USD;319;279,13;39,88;I;;1;EA;20150313
200000019;20;MZ-FG-E102;;USD;399;349,13;49,88;I;;3;EA;20150313
200000019;30;MZ-FG-C990;;USD;721;630,88;90,13;I;;10;EA;20150313
200000020;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;7;EA;20150307
200000020;20;FG226;;USD;299;261,63;37,38;I;;6;EA;20150307
200000021;10;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;7;EA;20150326
200000021;20;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;8;EA;20150326
200000021;30;MZ-TG-Y200;;USD;399;349,13;49,88;I;;8;EA;20150326
200000022;10;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;4;EA;20150401
200000023;10;M-01;;USD;319;279,13;39,88;I;;5;EA;20150403
200000023;20;MZ-FG-C990;;USD;721;630,88;90,13;I;;8;EA;20150403
200000023;30;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;10;EA;20150403
200000023;40;MZ-FG-E103;;USD;449;392,88;56,13;I;;3;EA;20150403
200000023;50;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;1;EA;20150403
200000024;10;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;9;EA;20150405
200000024;20;MZ-FG-C990;;USD;721;630,88;90,13;I;;7;EA;20150405
200000024;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;2;EA;20150405
200000025;10;M1;;USD;1144;1001;143;I;;3;EA;20150330
200000025;20;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;4;EA;20150330
200000026;10;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;6;EA;20150406
200000026;20;FG226;;USD;299;261,63;37,38;I;;1;EA;20150406
200000026;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;10;EA;20150406
200000026;40;TG11;;USD;3000;2625;375;I;;5;EA;20150406
200000026;50;FG226;;USD;299;261,63;37,38;I;;2;EA;20150406
200000027;10;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;2;EA;20150322
200000027;20;M1;;USD;1144;1001;143;I;;5;EA;20150322
200000027;30;FG226;;USD;299;261,63;37,38;I;;6;EA;20150322
200000027;40;MZ-FG-C900;;USD;525;459,38;65,63;I;;5;EA;20150322
200000027;50;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;7;EA;20150322
200000027;60;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;7;EA;20150322
200000028;10;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;8;EA;20150317
200000028;20;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;7;EA;20150317
200000028;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;3;EA;20150317
200000028;40;M1;;USD;1144;1001;143;I;;5;EA;20150317
200000028;50;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;8;EA;20150317
200000029;10;M-01;;USD;319;279,13;39,88;I;;1;EA;20150319
200000029;20;MZ-TG-SR01;;USD;4800;4200;600;I;;1;EA;20150319
200000029;30;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;7;EA;20150319
200000029;40;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;8;EA;20150319
200000030;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;4;EA;20150412
200000030;20;MZ-FG-C950;;USD;689;602,88;86,13;I;;3;EA;20150412
200000030;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;2;EA;20150412
200000030;40;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;3;EA;20150412
200000030;50;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;6;EA;20150412
200000030;60;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;7;EA;20150412
200000031;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;5;EA;20150408
200000031;20;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;10;EA;20150408
200000031;30;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;4;EA;20150408
200000032;10;FG226;;USD;299;261,63;37,38;I;;3;EA;20150408
200000033;10;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;2;EA;20150405
200000033;20;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;10;EA;20150405
200000033;30;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;5;EA;20150405
200000033;40;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;7;EA;20150405
200000033;50;MZ-FG-C950;;USD;689;602,88;86,13;I;;6;EA;20150405
200000033;60;MZ-FG-C10;;USD;1200;1050;150;I;;9;EA;20150405
200000034;10;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;2;EA;20150409
200000034;20;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;7;EA;20150409
200000034;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;2;EA;20150409
200000035;10;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;7;EA;20150422
200000035;20;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;9;EA;20150422
200000035;30;MZ-FG-C10;;USD;1200;1050;150;I;;4;EA;20150422
200000035;40;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;10;EA;20150422
200000035;50;M1;;USD;1144;1001;143;I;;7;EA;20150422
200000036;10;MZ-TG-SR01;;USD;4800;4200;600;I;;1;EA;20150326
200000036;20;M1;;USD;1144;1001;143;I;;4;EA;20150326
200000036;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;4;EA;20150326
200000036;40;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;3;EA;20150326
200000037;10;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;5;EA;20150330
200000037;20;MZ-FG-C950;;USD;689;602,88;86,13;I;;1;EA;20150330
200000037;30;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;4;EA;20150330
200000037;40;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;1;EA;20150330
200000038;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;2;EA;20150412
200000038;20;MZ-FG-C950;;USD;689;602,88;86,13;I;;9;EA;20150412
200000038;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;6;EA;20150412
200000038;40;FG226;;USD;299;261,63;37,38;I;;2;EA;20150412
200000039;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;9;EA;20150421
200000039;20;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;1;EA;20150421
200000039;30;FG226;;USD;299;261,63;37,38;I;;2;EA;20150421
200000040;10;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;2;EA;20150407
200000041;10;MZ-FG-C10;;USD;1200;1050;150;I;;7;EA;20150409
200000041;20;MZ-TG-SR01;;USD;4800;4200;600;I;;3;EA;20150409
200000042;10;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;5;EA;20150421
200000042;20;MZ-FG-C21;;USD;649;567,88;81,13;I;;3;EA;20150421
200000043;10;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;6;EA;20150423
200000043;20;FG226;;USD;299;261,63;37,38;I;;5;EA;20150423
200000043;30;TG11;;USD;3000;2625;375;I;;5;EA;20150423
200000043;40;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;2;EA;20150423
200000044;10;MZ-FG-C950;;USD;689;602,88;86,13;I;;1;EA;20150418
200000044;20;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;3;EA;20150418
200000044;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;3;EA;20150418
200000044;40;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;8;EA;20150418
200000045;10;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;2;EA;20150414
200000045;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;4;EA;20150414
200000045;30;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;5;EA;20150414
200000046;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;9;EA;20150419
200000046;20;TG11;;USD;3000;2625;375;I;;8;EA;20150419
200000046;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;3;EA;20150419
200000046;40;MZ-FG-C21;;USD;649;567,88;81,13;I;;6;EA;20150419
200000047;10;MZ-FG-E102;;USD;399;349,13;49,88;I;;9;EA;20150430
200000048;10;M1;;USD;1144;1001;143;I;;10;EA;20150508
200000048;20;TG11;;USD;3000;2625;375;I;;7;EA;20150508
200000048;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;6;EA;20150508
200000048;40;TG11;;USD;3000;2625;375;I;;9;EA;20150508
200000048;50;M-01;;USD;319;279,13;39,88;I;;8;EA;20150508
200000048;60;MZ-TG-SR01;;USD;4800;4200;600;I;;3;EA;20150508
200000049;10;MZ-FG-C990;;USD;721;630,88;90,13;I;;6;EA;20150425
200000049;20;TG11;;USD;3000;2625;375;I;;7;EA;20150425
200000049;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;5;EA;20150425
200000049;40;TG11;;USD;3000;2625;375;I;;3;EA;20150425
200000049;50;MZ-FG-C21;;USD;649;567,88;81,13;I;;1;EA;20150425
200000049;60;FG226;;USD;299;261,63;37,38;I;;2;EA;20150425
200000050;10;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;10;EA;20150423
200000050;20;TG11;;USD;3000;2625;375;I;;5;EA;20150423
200000050;30;MZ-TG-SR01;;USD;4800;4200;600;I;;10;EA;20150423
200000050;40;M-01;;USD;319;279,13;39,88;I;;2;EA;20150423
200000051;10;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;8;EA;20150505
200000051;20;MZ-FG-C900;;USD;525;459,38;65,63;I;;1;EA;20150505
200000051;30;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;8;EA;20150505
200000051;40;MZ-TG-Y240;;USD;400;350;50;I;;4;EA;20150505
200000051;50;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;2;EA;20150505
200000051;60;MZ-TG-Y200;;USD;399;349,13;49,88;I;;9;EA;20150505
200000052;10;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;5;EA;20150504
200000052;20;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;1;EA;20150504
200000052;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;8;EA;20150504
200000053;10;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;10;EA;20360112
200000053;20;CM-FL-V00;;USD;799;699,13;99,88;I;;1;EA;20360112
200000053;30;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;1;EA;20360112
200000053;40;MZ-FG-C950;;USD;689;602,88;86,13;I;;1;EA;20360112
200000053;50;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;3;EA;20360112
200000054;10;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;4;EA;20150417
200000054;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;3;EA;20150417
200000054;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;3;EA;20150417
200000054;40;MZ-FG-E103;;USD;449;392,88;56,13;I;;8;EA;20150417
200000054;50;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;10;EA;20150417
200000055;10;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;9;EA;20150509
200000055;20;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;7;EA;20150509
200000055;30;MZ-FG-C10;;USD;1200;1050;150;I;;1;EA;20150509
200000055;40;MZ-FG-E101;;USD;249;217,88;31,13;I;;7;EA;20150509
200000055;50;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;9;EA;20150509
200000056;10;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;7;EA;20150430
200000056;20;M-01;;USD;319;279,13;39,88;I;;1;EA;20150430
200000056;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;3;EA;20150430
200000057;10;M-01;;USD;319;279,13;39,88;I;;2;EA;20150518
200000057;20;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;3;EA;20150518
200000057;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;8;EA;20150518
200000057;40;M1;;USD;1144;1001;143;I;;7;EA;20150518
200000057;50;MZ-TG-SR01;;USD;4800;4200;600;I;;10;EA;20150518
