HIERARCHYID,DESCRIPTION,LEVEL
#,Unassigned,Total
CM-FL-V00,Forklift,ZFGOODS
FG226,Finished Goods 226,ZFGOODS
M-01,Bike M-01,ZFGOODS
M1,Bike M1,ZFGOODS
MZ-FG-C10,Bike C10,ZFGOODS
MZ-FG-C20,Bike C20,ZFGOODS
MZ-FG-C21,Bike C21,ZFGOODS
MZ-FG-C900,C900 BIKE,ZCRUISE
MZ-FG-C950,C950 BIKE,ZCRUISE
MZ-FG-C990,C990 Bike,ZCRUISE
MZ-FG-E101,eBike E101,ZCRUISE
MZ-FG-E102,eBike E102,ZCRUISE
MZ-FG-E103,eBike E103,ZCRUISE
MZ-FG-E108,eBike E108 Professional,ZFGOODS
MZ-FG-E15,eBike E15,ZFGOODS
MZ-FG-E16,eBike E16,ZFGOODS
MZ-FG-E17,eBike E17,ZFGOODS
MZ-FG-M500,M500 BIKE,ZMTN
MZ-FG-M525,M525 BIKE,ZMTN
MZ-FG-M550,M550 BIKE,ZMTN
MZ-FG-P010,Ace Racing Bike P010,RB
MZ-FG-R100,R100 BIKE,ZRACING
MZ-FG-R200,R200 Bike,ZRACING
MZ-FG-R300,R300 Bike,ZRACING
MZ-TG-A20,Bike Cover,TM
MZ-TG-A25,E-bike material A25,TM
MZ-TG-A26,E-bike material A26,TM
MZ-TG-A27,E-bike material A27,TM
MZ-TG-E202,eBike E202,ZFGOODS
MZ-TG-SR01,Power Bike R01,TM
MZ-TG-Y120,Y120 Bike,ZYOUTH
MZ-TG-Y200,Y200 Bike,ZYOUTH
MZ-TG-Y240,Y240 Bike,ZYOUTH
RB,Racing Bikes,ZFGOODS
TG11,Trading Goods 11,TM
TM,Trading Materials,ZFGOODS
Total,All Products,<root>
ZCRUISE,Cruise,Total
ZFGOODS,Finished Goods,Total
ZMTN,Mountain,Total
ZRACING,Racing,Total
ZYOUTH,Youth,Total
