PRODUCTID,LANGUAGE,SHORT_DESCR,MEDIUM_DESCR,LONG_DESCR
CM-FL-V00,EN,Forklift,Forklift,
FG226,EN,FG 226,Finished Goods 226,
M-01,EN,Bike M-01,Bike M-01,
M1,EN,Bike M1,Bike M1,
MZ-FG-C10,EN,Bike C10,Bike C10,
MZ-FG-C20,EN,Bike C20,Bike C20,
MZ-FG-C21,EN,Bike C21,Bike C21,
MZ-FG-C900,EN,C900 BIKE,C900 BIKE,
MZ-FG-C950,EN,C950 BIKE,C950 BIKE,
MZ-FG-C990,EN,C990 Bike,C990 Bike,
MZ-FG-E101,EN,eBike E101,eBike E101,
MZ-FG-E102,EN,eBike E102,eBike E102,
MZ-FG-E103,EN,eBike E103,eBike E103,
MZ-FG-E108,EN,eBike E108,eBike E108 Professional,
MZ-FG-E15,EN,eBike E15,eBike E15,
MZ-FG-E16,EN,eBike E16,eBike E16,
MZ-FG-E17,EN,eBike E17,eBike E17,
MZ-FG-M500,EN,M500 BIKE,M500 BIKE,
MZ-FG-M525,EN,M525 BIKE,M525 BIKE,
MZ-FG-M550,EN,M550 BIKE,M550 BIKE,
MZ-FG-P010,EN,Ace RB P010,Ace Racing Bike P010,
MZ-FG-R100,EN,R100 BIKE,R100 BIKE,
MZ-FG-R200,EN,R200 Bike,R200 Bike,
MZ-FG-R300,EN,R300 Bike,R300 Bike,
MZ-TG-A20,EN,Bike Cover,Bike Cover,
MZ-TG-A25,EN,E-bike A25,E-bike material A25,
MZ-TG-A26,EN,E-bike A26,E-bike material A26,
MZ-TG-A27,EN,E-bike A27,E-bike material A27,
MZ-TG-E202,EN,eBike E202,eBike E202,
MZ-TG-SR01,EN,PB R01,Power Bike R01,
MZ-TG-Y120,EN,Y120 Bike,Y120 Bike,
MZ-TG-Y200,EN,Y200 Bike,Y200 Bike,
MZ-TG-Y240,EN,Y240 Bike,Y240 Bike,
TG11,EN,Trading Goods 11,Trading Goods 11,
#,EN,Unassigned,Unassigned,
Total,EN,All Products,All Products,
ZCRUISE,EN,Cruise,Cruise
ZFGOODS,EN,Finished Goods,Finished Goods,
ZMTN,EN,Mountain,Mountain,
ZRACING,EN,Racing,Racing
ZYOUTH,EN,Youth,Youth
